101,18,30,-20,-54,-86,-14,82,1652970174.6721454
-30,5,-10,-49,8,95,35,-2,1652970174.687648
7,4,12,27,5,23,43,-11,1652970174.687648
-58,-14,-13,42,-7,14,-112,-34,1652970174.687648
9,2,18,19,83,38,119,22,1652970174.687648
19,5,3,2,-48,-41,-128,-23,1652970174.7075894
-10,-12,27,52,21,-51,16,6,1652970174.7075894
-19,-17,-49,-43,-44,-23,-57,-37,1652970174.7135758
5,8,-6,-11,-20,5,-7,-1,1652970174.7155578
20,10,5,-88,35,89,8,32,1652970174.7305372
-13,-3,1,94,16,40,48,-15,1652970174.7305372
-5,2,49,35,16,-73,-29,-25,1652970174.7305372
-5,7,-1,7,22,38,28,9,1652970174.7305372
8,-11,-27,-51,-56,-91,28,36,1652970174.750486
28,11,32,32,16,32,-39,-6,1652970174.750486
-16,-15,-35,-42,-26,12,69,13,1652970174.750486
14,-2,0,32,-24,-21,-47,-37,1652970174.750486
-15,-5,-6,-19,53,61,10,6,1652970174.7724428
-11,6,29,33,8,-4,28,0,1652970174.7724428
-16,-7,-12,6,-34,-36,28,22,1652970174.7744496
-4,9,10,-25,-8,18,-40,-14,1652970174.7744496
15,8,10,-17,-18,-17,-19,-12,1652970174.7904153
22,-4,-19,-7,9,11,-22,-9,1652970174.7904153
2,-14,-17,-38,29,26,-46,-16,1652970174.7904153
-20,-10,-13,20,-24,-15,-13,-21,1652970174.7904153
-24,1,-4,-3,-2,-26,-21,-24,1652970174.8100133
10,6,7,5,4,59,78,42,1652970174.8100133
45,2,8,65,25,-2,-15,-24,1652970174.8100133
27,5,-14,-81,-3,17,-19,41,1652970174.8100133
-37,0,21,45,3,-57,-22,-30,1652970174.8409202
-23,2,11,-12,-19,-13,22,2,1652970174.8409202
14,2,-10,-3,24,49,50,46,1652970174.8409202
-11,-2,-8,-26,-40,-30,-80,-35,1652970174.8409202
19,-3,7,-29,-46,22,36,6,1652970174.8558857
10,6,22,38,69,6,-1,-10,1652970174.8578744
0,-3,-30,17,30,-28,-87,-21,1652970174.8618684
-9,5,48,39,-27,44,63,-6,1652970174.8618684
5,12,15,3,13,-15,-26,13,1652970174.8698366
15,-23,-40,-13,-25,-31,-2,17,1652970174.8698366
-7,-1,2,-39,-1,36,27,-11,1652970174.8698366
-8,-5,-29,-27,12,5,-29,-23,1652970174.8698366
-22,-2,17,20,3,-32,-15,24,1652970174.891819
-2,-4,-16,-36,-8,24,12,-2,1652970174.891819
15,1,-13,-9,-10,-30,-22,18,1652970174.891819
-3,-14,-29,-37,11,-62,22,4,1652970174.8938162
-9,0,27,84,8,31,-45,-24,1652970174.9217398
13,8,5,4,-46,-25,-58,-16,1652970174.9217398
5,5,-11,-21,12,49,65,23,1652970174.9217398
-2,4,36,51,42,-14,4,14,1652970174.9217398
3,-5,-33,-69,-41,-31,-23,-6,1652970174.9297178
0,6,5,-23,-21,58,21,-10,1652970174.9297178
-7,1,15,-43,-7,-24,21,-12,1652970174.9297178
17,-3,-51,-9,18,7,60,8,1652970174.9297178
-19,-7,32,64,52,-14,-24,-8,1652970174.9526558
-3,4,21,12,-7,-10,-59,-3,1652970174.9526558
-1,7,2,26,16,23,-29,-7,1652970174.9526558
-26,-15,-37,-61,-40,-17,-4,-15,1652970174.9526558
25,-1,-15,-16,8,11,48,-8,1652970174.9706104
-29,-3,-2,-23,4,13,-36,9,1652970174.9706104
12,9,20,15,-5,-63,0,-3,1652970174.983785
-13,-19,-5,32,-3,21,26,-8,1652970174.983785
40,4,-31,-61,-17,13,-22,11,1652970174.9908063
-28,0,-23,-20,17,16,10,-13,1652970174.9908063
11,0,40,67,14,20,11,19,1652970174.9908063
-1,14,39,28,-8,50,-26,-24,1652970174.9908063
-61,-26,-5,16,4,-51,59,-9,1652970175.0077558
-1,-8,-44,-60,-38,-36,-85,-4,1652970175.0077558
18,5,-3,-9,-20,-55,-49,8,1652970175.0077558
2,6,0,35,34,4,-10,2,1652970175.0077558
25,4,17,-11,3,38,17,6,1652970175.0316958
7,1,-6,-24,-28,16,24,5,1652970175.0316958
-9,-7,-28,-57,-28,50,67,-1,1652970175.0316958
7,8,28,60,65,-30,-46,-1,1652970175.0316958
1,4,-2,34,-38,18,7,19,1652970175.0516512
-7,-6,14,49,97,-10,-10,-23,1652970175.0516512
16,1,-11,-34,-47,13,5,2,1652970175.0516512
