-1,-2,2,10,-20,-4,6,5,1652970186.1912003
-1,0,2,24,12,-4,-4,-5,1652970186.1961882
-1,-1,-6,8,26,23,-2,-8,1652970186.1961882
-3,2,-4,-32,-35,-28,1,-3,1652970186.1961882
-2,-1,5,-12,14,10,1,-1,1652970186.1961882
-2,-4,-3,8,-47,-21,-2,4,1652970186.1961882
0,-1,-9,-42,-11,-8,-4,-1,1652970186.1961882
1,1,0,-28,23,6,1,-4,1652970186.1961882
-1,-2,3,29,17,0,-3,4,1652970186.2241476
-2,-1,-4,-20,-25,-1,0,1,1652970186.2241476
0,2,11,64,33,-2,1,-1,1652970186.2241476
-1,-4,-4,-13,-32,-3,-15,-3,1652970186.2241476
2,2,0,-42,-1,-7,11,0,1652970186.2241476
-3,-8,-4,11,41,30,10,19,1652970186.2241476
-3,-1,-4,-21,-44,-17,-7,-32,1652970186.2241476
6,3,1,14,30,10,1,1,1652970186.2241476
-7,-3,-4,1,-30,-2,-1,-5,1652970186.281012
1,3,1,15,14,-2,6,3,1652970186.281012
-1,-1,-1,-4,-8,-8,-13,-3,1652970186.281012
-4,-2,3,31,26,5,18,3,1652970186.281012
1,-2,-7,-48,-11,-6,-14,9,1652970186.2880247
-2,-2,-3,5,-4,-4,-2,-4,1652970186.2880247
0,-1,0,-1,4,-2,-3,7,1652970186.2880247
2,3,4,-6,-28,1,3,-4,1652970186.2880247
-1,-2,-4,57,16,-1,1,1,1652970186.2880247
-2,-3,-5,-65,-10,-7,-4,-4,1652970186.2880247
-1,0,-2,10,28,-5,-3,1,1652970186.2880247
-2,-2,-7,-38,-49,-2,-4,-2,1652970186.2880247
2,0,2,4,19,3,4,1,1652970186.3232937
-1,1,2,20,-1,-2,-1,-4,1652970186.3232937
0,1,5,11,-7,6,4,4,1652970186.3232937
-3,-2,-5,-23,19,1,-4,-2,1652970186.3232937
0,0,-5,0,11,-3,-7,0,1652970186.3232937
-1,-1,2,26,12,5,10,-3,1652970186.3232937
-3,-5,-3,23,-11,-1,1,4,1652970186.3232937
0,-2,-3,-37,-9,15,-2,-1,1652970186.3232937
0,-1,-3,-4,-4,-31,-10,-4,1652970186.3447468
-1,0,-3,2,4,5,6,0,1652970186.3447468
-5,-5,-3,-24,-5,0,-1,2,1652970186.3447468
-1,0,4,19,-20,-14,-2,-2,1652970186.3447468
3,3,0,4,25,19,3,1,1652970186.3597064
1,0,4,-2,-23,-7,-7,-2,1652970186.3597064
2,-1,0,4,10,6,0,16,1652970186.3676844
-6,-7,-3,50,28,-7,-6,-29,1652970186.3676844
-3,-2,-3,-44,-23,2,6,0,1652970186.3866334
1,2,2,30,2,-9,-4,-1,1652970186.3866334
2,2,0,-32,-9,15,-1,5,1652970186.3866334
2,2,4,28,22,1,0,4,1652970186.3866334
-1,0,0,-22,-3,3,3,2,1652970186.4035883
-1,-3,-5,-9,8,9,5,0,1652970186.4035883
-3,-1,1,-8,-45,-11,-6,-6,1652970186.4035883
1,0,1,27,14,0,-1,2,1652970186.4035883
-3,-3,-6,-54,-39,-7,-3,-9,1652970186.418549
2,0,0,4,28,3,-4,13,1652970186.418549
0,2,1,14,13,0,17,-2,1652970186.423535
2,-2,-1,5,2,-2,-13,9,1652970186.426527
1,3,5,19,-14,8,6,5,1652970186.4824376
-5,-3,-5,-17,-28,-15,-18,-11,1652970186.4824376
0,-1,1,2,9,-4,0,-6,1652970186.4824376
1,3,-3,-34,4,-2,3,3,1652970186.4824376
-1,-2,4,22,-9,1,-10,-6,1652970186.4824376
2,0,0,6,-2,6,-2,-3,1652970186.4824376
-3,-2,-5,-6,11,-28,-5,-4,1652970186.4824376
